,city,job_title,company,location,link
1,dallas,Jr. Data Scientist,Event Dynamic,"Temporarily Remote in Dallas, TX",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzeGWOjRdOR2DdzguH-JnvuerQhYKM8ycpn9HUixiNo9yrH2GSQiGp18hC9P3rOWU--DslnxFrMaOC6NCs-n1a7BWiC1c27mJSN8JINp0rDF13NJnbrAufU5-kpTzGbB7CTP8Y-01lIoyiaMkPLQ2ByoJf9JaR3UC6LA5KuJ-34d9YQaMQcw7bIHTkFze6JdT5cWSlMzOE8OBxY-dvPPB43Hn8hjNawRYfb81F-57zReu7-Zj5wzBLk5Zl3NkBsAtkZPkDFd9dH6QrFtL5G-B9Aj2y9qGAtQp5L4Wyf08xbJvjS3a3XETGzgydXqnU0aZtACfkARwYa2y2-JkygL74SJPhD9csXkngbX4veTCZcD-ZqgGCQMFAV5wJjKsB7-bIP1RvNIN5noSCbRKBSN-pqMw11mhkn2eiOLEtrgKrTkYQIUmp0g9oBvlBuCF8PyktQrneTRGSUOuN37L9mYEAFJz8CGw5KUf34x8jh0yDWMlus1QOpZ4w&p=0&fvj=1&vjs=3
2,dallas,Entry Level Cyber Security Role,SkillStorm,"Remote in Dallas, TX",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Akpfp8SSZMfZN38QizqqtbOT4j-2RsCLW69coMAbJ8KY0BXv5pi7sfynk-cNMHYhMuOAE9zzWSSu1J4CWahsOo3sQwwn0YexPVRNs-F1b8rTwtHCiv-1Wip9vutSjDQYGihEcNApHc_IrlkXRF_1tfiwg-t3TfXZdNqD9DOtVkipf3Z2PgVLuq93PHtrk0wkInLitEAohF6H--HVVJnBHO7m6HxpRgARK8QRf4sIBlWI4aNan4SPRG6YrN6QmAJ-8Fm88NHQ-1kc4-RNaihp7PMCl_2eThPUurGdUpFpf_TeUEts7PHv_0nySCy524l5KYMjE9DS5q9yeB54r3wvAogm-Fyw52WQhe_eqLzANNEq8zsEmWZ3wIib_LeDY_7JMEilImnXzXO9JdVvqLxmy9Z88uebSd4YncSU6SQsSRD_JM8JxKIZwO3aaSv-0P5ckkR7dfFce7TOM1KSUyzYt_zeOAZB_gHlJCU345jpkCUDTRl3egldv9OMmb5yjaDcnaPeAdyPvCYPV1xohLFTshv36pKQD-Hjf12KNY60b6k92wttajJn1N&p=1&fvj=0&vjs=3
3,dallas,newEntry Level Opportunity - Business Intelligence Analyst,PCS GLOBAL TECH,"Remote in Dallas, TX",www.indeed.com/company/PCS-GLOBAL-TECH/jobs/Entry-Level-Opportunity-005c34e0babd7f69?fccid=252beafbd99a6037&vjs=3
4,dallas,Entry Level Java Developer,Synergistic IT,"Dallas, TX",www.indeed.com/company/Synergistic-IT/jobs/Entry-Level-Java-Developer-4c09b983b4f3ff9c?fccid=6c6b10d419320f4e&vjs=3
5,dallas,newEntry-Level Developer Test Automation,Quintrix Solutions Inc,"Dallas, TX+1 location",www.indeed.com/company/Quintrix-Solutions/jobs/Entry-Level-Developer-Test-Automation-7c16419152512e12?fccid=b1657a1ef2ca3436&vjs=3
6,dallas,newIT Analyst Entry Level,"Voxai Solutions, Inc.","Coppell, TX 75019","www.indeed.com/company/Voxai-Solutions,-Inc./jobs/IT-Analyst-Entry-Level-9cfa782ff4827d67?fccid=843e75defe446db1&vjs=3"
7,dallas,newEntry-Level Developer (Test Automation),Quintrix,"Dallas, TX",www.indeed.com/company/Quintrix/jobs/Entry-Level-Developer-6553b280f5f4c028?fccid=08d82640513a1729&vjs=3
8,dallas,"Hiring for OPT , CPT , Stem OPT , H1B , H4 EAD , GC",SAINARS SOLUTIONS INC.,"Frisco, TX",www.indeed.com/company/SAINARS-SOLUTIONS-INC./jobs/Opt-41e7659a0b307c0d?fccid=ebc6f9872492f5fe&vjs=3
9,dallas,newEntry level Full stack Java Developer,Quintrix,"Dallas, TX+3 locations",www.indeed.com/company/Quintrix/jobs/Entry-Level-Full-Stack-Java-Developer-61e3f26c2ac6c539?fccid=448c6a409de61c4a&vjs=3
10,dallas,Power BI Developer - Entry Level,Ethos Group Corporate,"Dallas, TX",www.indeed.com/rc/clk?jk=f89066e43eec7872&fccid=8e250593e88b7472&vjs=3
